product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,product_id_raw,id_web,id_web_raw,sku,sku_raw,total_sales,product_type,post_type,post_title,web_match_status
5615,1,56.4,5,instock,30.6,5615,15923,15923,15923,15923,4.0,Vin,product,"Albert Boxler Pinot Gris Grand Cru Sommerberg ""W"" 2016",both
5616,1,38.4,7,instock,19.05,5616,14845,14845,14845,14845,4.0,Vin,product,"Albert Boxler Pinot Noir ""S"" 2016",both
5617,1,27.8,0,outofstock,14.65,5617,14844,14844,14844,14844,9.0,Vin,product,Albert Boxler Pinot Gris Réserve 2016,both
5618,1,71.3,5,instock,36.84,5618,15921,15921,15921,15921,4.0,Vin,product,"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018",both
5619,1,71.3,10,instock,38.31,5619,15922,15922,15922,15922,5.0,Vin,product,"Albert Boxler Riesling Grand Cru Sommerberg ""E"" 2018",both
5628,1,25.0,15,instock,12.79,5628,12366,12366,12366,12366,5.0,Vin,product,Parés Baltà Penedès Hisenda Miret 2013,both
5629,1,10.3,28,instock,5.06,5629,8365,8365,8365,8365,13.0,Vin,product,Parés Baltà Cava Brut Nature,both
5630,1,28.0,23,instock,14.61,5630,12365,12365,12365,12365,10.0,Vin,product,Parés Baltà Penedès Electio 2013,both
5690,1,44.6,9,instock,21.89,5690,14647,14647,14647,14647,8.0,Vin,product,Domaine Hauvette IGP Alpilles Dolia 2012,both
5693,1,13.0,29,instock,6.52,5693,15812,15812,15812,15812,9.0,Vin,product,Philippe Nusswitz Duché d'Uzès Orénia Blanc Réserve 2018,both
5694,1,12.7,25,instock,6.23,5694,14661,14661,14661,14661,9.0,Vin,product,Philippe Nusswitz Duché d'Uzès Orénia Rouge Réserve 2016,both
5695,1,6.5,33,instock,3.53,5695,16304,16304,16304,16304,16.0,Vin,product,Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019,both
5696,1,17.5,24,instock,9.49,5696,15797,15797,15797,15797,7.0,Vin,product,Planeta Sicilia Etna Bianco 2018,both
5697,1,29.9,14,instock,15.29,5697,16094,16094,16094,16094,5.0,Vin,product,Planeta Sicilia Noto Santa Cecilia 2016,both
5700,1,44.5,-1,outofstock,22.3,5700,14736,14736,14736,14736,8.0,Vin,product,"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016",both
5703,1,29.4,23,instock,15.95,5703,11736,11736,11736,11736,10.0,Vin,product,Domaine de l'Ecu Muscadet Taurus 2012,both
5704,1,16.9,35,instock,8.3,5704,15036,15036,15036,15036,11.0,Vin,product,Domaine de l'Ecu Muscadet Gneiss 2015,both
5705,1,19.8,23,instock,9.82,5705,15360,15360,15360,15360,7.0,Vin,product,Domaine Huet Vouvray Pétillant Brut 2014,both
5706,1,10.3,26,instock,5.32,5706,15674,15674,15674,15674,12.0,Vin,product,Domaine des Terres d'Ocre Saint-Pourçain Blanc Instant T 2018,both
5707,1,10.8,0,outofstock,5.69,5707,13557,13557,13557,13557,0.0,Vin,product,Domaine des Terres d'Ocre Saint-Pourçain Rouge Instant T 2015,both
