,product_id,onsale_web,price,stock_quantity,stock_status,purchase_price,id_web,total_sales,product_type,post_type,z_score,ca_par_article,part_ca,cumsum_ca,part_quantite,cumsum_quantite,rotation_mensuelle,mois_de_stock,valorisation_stock_euros,prix_vente_ht,taux_marge
20,4306.0,1.0,10.7,52.0,instock,5.31,15949,15.0,Vin,product,-0.7839332830452511,160.5,0.0011170649240917845,0.7432469771387964,0.0026082420448617634,0.06903147278734136,15.0,3.466666666666667,276.12,8.916666666666666,0.40448598130841124
67,6128.0,1.0,10.6,45.0,instock,5.64,14569,13.0,Vin,product,-0.7875569529764929,137.79999999999998,0.0009590750563230398,0.8432886669761506,0.0022604764388801948,0.18275082594331432,13.0,3.4615384615384617,253.79999999999998,8.833333333333334,0.3615094339622642
83,5019.0,1.0,19.8,45.0,instock,10.43,14696,13.0,Vin,product,-0.4541793193022412,257.40000000000003,0.00179147982218832,0.4335050574157452,0.0022604764388801948,0.21891844896539742,13.0,3.4615384615384617,469.34999999999997,16.5,0.3678787878787879
187,4056.0,1.0,12.7,38.0,instock,6.36,16029,11.0,Vin,product,-0.7114598844204137,139.7,0.0009722988778543444,0.8278453313994074,0.0019127108328986263,0.4294905233872375,11.0,3.4545454545454546,241.68,10.583333333333334,0.39905511811023625
183,4733.0,1.0,16.8,38.0,instock,8.42,15576,11.0,Vin,product,-0.5628894172394973,184.8,0.0012861906415711014,0.6604341867802155,0.0019127108328986263,0.421839680055643,11.0,3.4545454545454546,319.96,14.000000000000002,0.39857142857142863
164,4925.0,1.0,23.2,38.0,instock,11.39,16277,11.0,Vin,product,-0.3309745416400178,255.2,0.0017761680288362826,0.43706852932312834,0.0019127108328986263,0.38549817423056915,11.0,3.4545454545454546,432.82000000000005,19.333333333333332,0.4108620689655172
172,5906.0,1.0,19.8,38.0,instock,9.72,15857,11.0,Vin,product,-0.4541793193022412,217.8,0.0015158675418516553,0.5435133327440613,0.0019127108328986263,0.40079986089375813,11.0,3.4545454545454546,369.36,16.5,0.4109090909090909
169,6205.0,1.0,20.2,38.0,instock,10.54,16565,11.0,Vin,product,-0.43968463957727383,222.2,0.0015464911285557289,0.5190485669205407,0.0019127108328986263,0.39506172839506226,11.0,3.4545454545454546,400.52,16.833333333333332,0.37386138613861386
142,6280.0,1.0,10.4,38.0,instock,5.53,15654,11.0,Vin,product,-0.7948042928389767,114.4,0.0007962132543059199,0.9184737482782932,0.0019127108328986263,0.34341853590679944,11.0,3.4545454545454546,210.14000000000001,8.666666666666668,0.36192307692307696
288,4740.0,1.0,9.7,31.0,instock,5.21,13412,9.0,Vin,product,-0.8201699823576698,87.3,0.0006075997998331015,0.9829663258864654,0.001564945226917058,0.6005912015301703,9.0,3.4444444444444446,161.51,8.083333333333334,0.3554639175257732
315,4678.0,1.0,29.8,31.0,instock,15.09,15281,9.0,Vin,product,-0.09181232617805461,268.2,0.0018666468077346828,0.4005300664462232,0.001564945226917058,0.6428447226569315,9.0,3.4444444444444446,467.79,24.833333333333336,0.3923489932885907
311,4675.0,1.0,10.7,31.0,instock,5.64,13762,9.0,Vin,product,-0.7839332830452511,96.3,0.0006702389544550706,0.9702352657048532,0.001564945226917058,0.6365849417492632,9.0,3.4444444444444446,174.84,8.916666666666666,0.3674766355140187
448,4674.0,1.0,19.0,24.0,instock,9.91,16056,7.0,Vin,product,-0.4831686787521762,133.0,0.0009256675071913229,0.8602492620759591,0.0012171796209354895,0.8193357676925778,7.0,3.4285714285714284,237.84,15.833333333333334,0.3741052631578948
421,5696.0,1.0,17.5,24.0,instock,9.49,15797,7.0,Vin,product,-0.5375237277208041,122.5,0.0008525884934656922,0.8877725586215489,0.0012171796209354895,0.7864719179273197,7.0,3.4285714285714284,227.76,14.583333333333334,0.3492571428571429
422,4914.0,1.0,25.9,24.0,instock,12.98,15613,7.0,Vin,product,-0.23313545349648745,181.29999999999998,0.0012618309703292243,0.6719183797895465,0.0012171796209354895,0.7876890975482552,7.0,3.4285714285714284,311.52,21.583333333333332,0.3986100386100386
408,4601.0,1.0,16.1,24.0,instock,8.57,16151,7.0,Vin,product,-0.5882551067581903,112.70000000000002,0.0007843814139884369,0.9248003028951121,0.0012171796209354895,0.7706485828551585,7.0,3.4285714285714284,205.68,13.416666666666668,0.36124223602484473
